,Rank,Company,CEO,Female,NameNoSpaces,FullName
734,735,Brown-Forman,Paul Varga,0,PaulVarga,Paul C. Varga
735,736,Cinemark Holdings,Mark Zoradi,0,MarkZoradi,Mark Zoradi
736,737,Granite Construction,James Roberts,0,JamesRoberts,James H. Roberts
737,738,Dycom Industries,Steven Nielsen,0,StevenNielsen,Steven E. Nielsen
738,739,Clean Harbors,Alan McKim,0,AlanMcKim,Alan S. McKim
739,740,First Solar,Mark Widmar,0,MarkWidmar,Mark R. Widmar
740,741,Scotts Miracle-Gro,James Hagedorn,0,JamesHagedorn,James S. Hagedorn
741,742,Cracker Barrel Old Country Store,Sandra Cochran,0,SandraCochran,Sandra B. Cochran
742,743,Triple-S Management,Roberto Garcia-Rodriguez,0,RobertoGarcia-Rodriguez,Roberto Garcia-Rodriguez
743,744,First Republic Bank,James Herbert ,0,JamesHerbert,James H. Herbert II
744,745,ServiceMaster Global Holdings,Nikhil Varty,0,NikhilVarty,Nikhil Varty
745,746,PC Connection,Timothy McGrath,0,TimothyMcGrath,Timothy J. McGrath
746,747,Genesco,Robert Dennis,0,RobertDennis,Robert J. Dennis
747,748,Medical Mutual of Ohio,Richard Chiricosta,0,RichardChiricosta,Richard A. Chiricosta
748,749,MSC Industrial Direct,Erik Gershwind,0,ErikGershwind,Erik Gershwind
749,750,Legg Mason,Joseph Sullivan,0,JosephSullivan,Joseph A. Sullivan
750,751,Hyster-Yale Materials Handling,Alfred Rankin ,0,AlfredRankin,Alfred M. Rankin Jr.
751,752,Apollo Global Management,Leon Black,0,LeonBlack,Leon D. Black
752,753,Citrix Systems,David Henshall,0,DavidHenshall,David J. Henshall
753,754,Acadia Healthcare,Joey Jacobs,0,JoeyJacobs,Joey A. Jacobs
754,755,Varian Medical Systems,Dow Wilson,0,DowWilson,Dow R. Wilson
755,756,Groupon,Rich Williams,0,RichWilliams,Rich Williams
756,757,Aleris,Sean Stack,0,SeanStack,Sean M. Stack
757,758,Sprague Resources,David Glendon,0,DavidGlendon,David C. Glendon
758,759,Cooper Tire & Rubber,Bradley Hughes,0,BradleyHughes,Bradley E. Hughes
759,760,Hain Celestial Group,Irwin Simon,0,IrwinSimon,Irwin D. Simon
760,761,Penn Mutual Life Insurance,Eileen McDonnell,0,EileenMcDonnell,Eileen C. McDonnell
761,762,Colony NorthStar,Richard Saltzman,0,RichardSaltzman,Richard B. Saltzman
762,763,ArcBest,Judy McReynolds,0,JudyMcReynolds,Judy R. McReynolds
763,764,Presidio,Robert Cagnazzi,0,RobertCagnazzi,Robert Cagnazzi
764,765,TRI Pointe Group,Douglas Bauer,0,DouglasBauer,Douglas F. Bauer
765,766,Annaly Capital Management,Kevin Keyes,0,KevinKeyes,Kevin G. Keyes
766,767,G-III Apparel Group,Morris Goldfarb,0,MorrisGoldfarb,Morris Goldfarb
767,768,AMC Networks,Joshua Sapan,0,JoshuaSapan,Joshua W. Sapan
768,769,Enable Midstream Partners,Rodney Sailor,0,RodneySailor,Rodney J. Sailor
769,770,Ciena,Gary Smith,0,GarySmith,Gary B. Smith
770,771,DSW,Roger Rawlins,0,RogerRawlins,Roger L. Rawlins
